"city_id","city_name","city_alternate_name","city_lat","city_lng"
"2112312","Katsuta","Katsuta","36.38333","140.53333"
"2112319","Katori-shi","Katori-shi","35.89767","140.49943"
"2112343","Kasama","Kasama","36.38333","140.26667"
"2112354","Karasuyama","Karasuyama","36.65000","140.15000"
"2112409","Kaminoyama","Kaminoyama","38.15389","140.27361"
"2112444","Kamaishi","Kamaishi","39.27694","141.86801"
"2112455","Kakuda","Kakuda","37.97451","140.77202"
"2112521","Iwase","Iwase","36.35000","140.10000"
"2112527","Iwanuma","Iwanuma","38.10472","140.85944"
"2112539","Iwaki","Iwaki","37.05000","140.88333"
"2112555","Itako","Itako","35.93333","140.55000"
"2112571","Ishioka","Ishioka","36.18333","140.26667"
"2112576","Ishinomaki","Ishinomaki","38.41667","141.30000"
"2112583","Ishikawa","Ishikawa","37.15000","140.45000"
"2112615","Inawashiro","Inawashiro","37.56667","140.11667"
"2112656","Ichinoseki","Ichinoseki","38.91667","141.13333"
"2112664","Ichihara","Ichihara","35.51667","140.08333"
"2112692","Hobaramachi","Hobaramachi","37.81667","140.55000"
"2112708","Hitachi","Hitachi","36.60000","140.65000"
"2112758","Higashine","Higashine","38.43889","140.40056"
"2112802","Hasaki","Hasaki","35.73333","140.83333"
"2112823","Hanamaki","Hanamaki","39.38333","141.11667"
"2112899","Furukawa","Furukawa","38.57167","140.95556"
"2112903","Funehikimachi-funehiki","Funehikimachi-funehiki","37.44722","140.57710"
"2112913","Funaishikawa","Funaishikawa","36.46667","140.56667"
"2112923","Fukushima","Fukushima","37.75000","140.46667"
"2112940","Fujishiro","Fujishiro","35.91667","140.11667"
"2112963","Edosaki","Edosaki","35.95000","140.31667"
"2112989","Daigo","Daigo","36.76667","140.35000"
"2113015","Chiba","Chiba","35.60000","140.11667"
"2113077","Asahi","Asahi","35.71667","140.65000"
"2113115","Ami","Ami","36.03333","140.20000"
"2113126","Akita","Akita","39.71667","140.11667"
"2113164","Abiko","Abiko","35.86667","140.01667"
"2113719","Akita","Akita","39.71667","140.10000"
"2113779","Majuro","Majuro","7.08971","171.38027"
"2118647","Vilyuchinsk","Vilyuchinsk","52.93110","158.40469"
"2119441","Yuzhno-Sakhalinsk","Yuzhno-Sakhalinsk","46.95407","142.73603"
"2119538","Yelizovo","Yelizovo","53.18909","158.38135"
"2119932","Vanino","Vanino","49.09848","140.25313"
"2121052","Sovetskaya Gavan'","Sovetskaya Gavan'","48.97215","140.28919"
"2121909","Poronaysk","Poronaysk","49.22188","143.09694"
"2122104","Petropavlovsk-Kamchatsky","Petropavlovsk-Kamchatsky","53.04444","158.65076"
"2122614","Okha","Okha","53.58991","142.95313"
"2122850","Nikolayevsk-on-Amure","Nikolayevsk-on-Amure","53.14657","140.72287"
"2122894","Nevel'sk","Nevel'sk","46.67902","141.85629"
"2123628","Magadan","Magadan","59.56380","150.80347"
"2124286","Korsakov","Korsakov","46.63420","142.77722"
"2124615","Kholmsk","Kholmsk","47.04737","142.05048"
"2127383","Bihoro","Bihoro","43.82278","144.10444"
"2127515","Wakkanai","Wakkanai","45.40944","141.67389"
"2127733","Tomakomai","Tomakomai","42.63694","141.60333"
"2127802","Tobetsu","Tobetsu","43.21694","141.51694"
"2127878","Mutsu","Mutsu","41.28944","141.21694"
"2127896","Takikawa","Takikawa","43.55278","141.90639"
"2127910","Takanosu","Takanosu","40.22268","140.36611"
"2127955","Sunagawa","Sunagawa","43.48639","141.90556"
"2128025","Shizunai-furukawacho","Shizunai-furukawacho","42.33389","142.36694"
"2128072","Shiraoi","Shiraoi","42.55000","141.35000"
"2128147","Shimo-furano","Shimo-furano","43.35000","142.38333"
